fileName,iterations,status
addr1,3,FIXED
arr1,5,NOT_FIXED
arr2,3,FIXED
balancedBST1,4,FIXED
balancedBST2_1,2,FIXED
balancedBST3_1,5,SYNTAX_ERROR
bempl1,5,TYPE_ERROR
cd1_1,1,FIXED
cd2,1,FIXED
ctree1,3,FIXED
dll1_1,1,FIXED
dll2_1,1,FIXED
dll3_1,1,FIXED
dll4,1,FIXED
farmer1,1,FIXED
fsm1_1,5,NOT_FIXED
fsm2,1,FIXED
grade1,5,NOT_FIXED
other1,1,FIXED
student2_1,1,FIXED
student3_1,4,FIXED
student4,3,FIXED
student5,5,NOT_FIXED
student6_1,1,FIXED
student7_1,1,FIXED
student8,1,FIXED
student9,1,FIXED
student1,1,FIXED
student10,1,FIXED
student11,2,FIXED
student12_1,1,FIXED
student13,2,FIXED
student14_1,2,FIXED
student15,4,FIXED
student16,5,TYPE_ERROR
student17_1,5,NOT_FIXED
student18_1,5,NOT_FIXED
student19_1,2,FIXED
