fileName_clean,count
classroominv,"(991, 1)"
cvinv,"(136, 32)"
graphsacyclic,"(28, 0)"
graphscomplete,"(34, 8)"
graphsnoloops,"(17, 8)"
graphsoriented,"(18, 2)"
graphsstronglyConnected,"(24, 9)"
graphstransitive,"(2, 0)"
graphsundirected,"(22, 0)"
graphsweaklyConnected,"(138, 24)"
ltsinv,"(248, 115)"
productioninv,"(60, 32)"
trashinv,"(205, 0)"
