fileName,iterations,status
addr1,5,NOT_FIXED
arr1,5,SYNTAX_ERROR
arr2,5,SYNTAX_ERROR
balancedBST1,5,SYNTAX_ERROR
balancedBST2_1,5,SYNTAX_ERROR
balancedBST3_1,5,SYNTAX_ERROR
bempl1,3,FIXED
cd1_1,2,FIXED
cd2,1,FIXED
ctree1,1,FIXED
dll1_1,1,FIXED
dll2_1,1,FIXED
dll3_1,1,FIXED
dll4,1,FIXED
farmer1,1,FIXED
fsm1_1,3,FIXED
fsm2,2,FIXED
grade1,5,SYNTAX_ERROR
other1,1,FIXED
student1,2,FIXED
student2_1,1,FIXED
student3_1,1,FIXED
student4,2,FIXED
student5,3,FIXED
student6_1,1,FIXED
student7_1,1,FIXED
student8,1,FIXED
student9,1,FIXED
student10,5,NOT_FIXED
student11,3,FIXED
student12_1,1,FIXED
student13,2,FIXED
student14_1,3,FIXED
student15,2,FIXED
student16,5,SYNTAX_ERROR
student17_1,5,NOT_FIXED
student18_1,3,FIXED
student19_1,5,SYNTAX_ERROR
