fileName_clean,count
classroominv,"(991, 0)"
cvinv,"(136, 38)"
graphsacyclic,"(28, 1)"
graphscomplete,"(34, 1)"
graphsnoloops,"(17, 6)"
graphsoriented,"(18, 2)"
graphsstronglyConnected,"(24, 2)"
graphstransitive,"(2, 0)"
graphsundirected,"(22, 5)"
graphsweaklyConnected,"(138, 8)"
ltsinv,"(248, 68)"
productioninv,"(60, 25)"
trashinv,"(205, 0)"
