fileName_clean,count
classroominv,"(991, 21)"
cvinv,"(136, 70)"
graphsacyclic,"(28, 0)"
graphscomplete,"(34, 4)"
graphsnoloops,"(17, 2)"
graphsoriented,"(18, 2)"
graphsstronglyConnected,"(24, 4)"
graphstransitive,"(2, 0)"
graphsundirected,"(22, 2)"
graphsweaklyConnected,"(138, 20)"
ltsinv,"(248, 106)"
productioninv,"(60, 34)"
trashinv,"(205, 12)"
